sentence	entity	entity_tag	entity_pos_start_rel	entity_pos_end_rel
Абдул Реза Шайхулислами выразил готовность Ирана оказать содействие правительству Афганистана в учреждении курсов профессионального обучения для безработных афганцев.	Абдул Реза Шайхулислами	PERSON	0	23
Абдул Реза Шайхулислами выразил готовность Ирана оказать содействие правительству Афганистана в учреждении курсов профессионального обучения для безработных афганцев.	афганцев	NATIONALITY	157	165
Абдул Реза Шайхулислами выразил готовность Ирана оказать содействие правительству Афганистана в учреждении курсов профессионального обучения для безработных афганцев.	правительству Афганистана	ORGANIZATION	68	93
В своем выступлении Абдул Реза Шайхулислами отметил, что одной из основных причин наркотической зависимости афганской молодежи, а также вовлеченности последней в наркотрафик является высокий уровень безработицы в стране.	Абдул Реза Шайхулислами	PERSON	20	43
В свою очередь, Зорар Ахмад Мокбел заявил о том, что его страна нуждается в поддержке Ирана в деле реабилитации и трудоустройстве наркоманов, стремящихся избавиться от зависимости, сообщает телеканал “Пресс-ТВ”.	Ирана	COUNTRY	86	91
В свою очередь, Зорар Ахмад Мокбел заявил о том, что его страна нуждается в поддержке Ирана в деле реабилитации и трудоустройстве наркоманов, стремящихся избавиться от зависимости, сообщает телеканал “Пресс-ТВ”.	Пресс-ТВ	ORGANIZATION	201	209
В субботу в Тегеране состоялась встреча главы Министерства Афганистана по борьбе с наркотиками Зорар Ахмадом Мокбелом и иранским министром труда Абдул Резой Шайхулислами.	Абдул Резой Шайхулислами	PERSON	145	169
В субботу в Тегеране состоялась встреча главы Министерства Афганистана по борьбе с наркотиками Зорар Ахмадом Мокбелом и иранским министром труда Абдул Резой Шайхулислами.	Зорар Ахмадом Мокбелом	PERSON	95	117
В субботу в Тегеране состоялась встреча главы Министерства Афганистана по борьбе с наркотиками Зорар Ахмадом Мокбелом и иранским министром труда Абдул Резой Шайхулислами.	главы Министерства Афганистана по борьбе с наркотиками	PROFESSION	40	94
В субботу в Тегеране состоялась встреча главы Министерства Афганистана по борьбе с наркотиками Зорар Ахмадом Мокбелом и иранским министром труда Абдул Резой Шайхулислами.	иранским	COUNTRY	120	128
В субботу в Тегеране состоялась встреча главы Министерства Афганистана по борьбе с наркотиками Зорар Ахмадом Мокбелом и иранским министром труда Абдул Резой Шайхулислами.	министром труда	PROFESSION	129	144
В ходе мероприятия стороны обсудили детали афгано-иранского соглашения об учреждении курсов профессионального обучения в ИРА.	ИРА	ORGANIZATION	121	124
В ходе мероприятия стороны обсудили детали афгано-иранского соглашения об учреждении курсов профессионального обучения в ИРА.	афгано	COUNTRY	43	49
В ходе мероприятия стороны обсудили детали афгано-иранского соглашения об учреждении курсов профессионального обучения в ИРА.	иранского	COUNTRY	50	59
Иран поможет Афганистану в трудоустройстве населения и борьбе с наркотрафиком.	Афганистану	COUNTRY	13	24
Таким образом, как подчеркнул иранский министр, совместные усилия двух стран, направленные на трудоустройство граждан Афганистана, станут важным шагом к решению проблемы наркотрафика в регионе.	Афганистана	COUNTRY	118	129
Таким образом, как подчеркнул иранский министр, совместные усилия двух стран, направленные на трудоустройство граждан Афганистана, станут важным шагом к решению проблемы наркотрафика в регионе.	иранский	COUNTRY	30	38
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	Кэти Перри	PERSON	34	44
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	Рассел Брэнд	PERSON	99	111
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	американская	NATIONALITY	10	22
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	британский	NATIONALITY	57	67
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	индийского	NATIONALITY	74	84
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	индийского происхождения	NATIONALITY	74	98
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	комик	PROFESSION	68	73
26-летняя американская поп-певица Кэти Перри и 35-летний британский комик индийского происхождения Рассел Брэнд поженились 23 октября, свадьба прошла по индуистскому обряду.	поп-певица	PROFESSION	23	33
А учитывая то, что с юных лет певица комплексует по поводу своей внешности и не позволяет себе появиться на людях неподготовленной, можно представить, как ее шокировал этот снимок.	певица	PROFESSION	30	36
Вот он-то и выложил в «Твиттере» фотографии гламурной певицы без признаков макияжа.	певицы	PROFESSION	54	60
Даже на снимке видно, как испугала Кэти перспектива быть запечатленной на фото в таком виде.	Кэти	PERSON	35	39
Можно только догадываться, какой скандал она закатила Расселу, но снимки буквально через несколько часов после появления были удалены с его микроблога…	Расселу	PERSON	54	61
На днях в Интернете появились снимки Кэти, сделанные в тот момен, когда она явно не была готова показаться кому бы то ни было, кроме самого близкого человека – мужа.	Кэти	PERSON	37	41
Рассел Брэнд и Кэти Перри поженились всего два месяца назад, но британский комик, судя по всему, не боится вызвать гнев возлюбленной смелым, даже можно сказать, опрометчивым поступком.	Кэти Перри	PERSON	15	25
Рассел Брэнд и Кэти Перри поженились всего два месяца назад, но британский комик, судя по всему, не боится вызвать гнев возлюбленной смелым, даже можно сказать, опрометчивым поступком.	Рассел Брэнд	PERSON	0	12
Рассел Брэнд и Кэти Перри поженились всего два месяца назад, но британский комик, судя по всему, не боится вызвать гнев возлюбленной смелым, даже можно сказать, опрометчивым поступком.	британский	NATIONALITY	64	74
Рассел Брэнд и Кэти Перри поженились всего два месяца назад, но британский комик, судя по всему, не боится вызвать гнев возлюбленной смелым, даже можно сказать, опрометчивым поступком.	комик	PROFESSION	75	80
Рассел Брэнд опозорил свою жену Кэти Перри на весь Интернет.	Кэти Перри	PERSON	32	42
Рассел Брэнд опозорил свою жену Кэти Перри на весь Интернет.	Рассел Брэнд	PERSON	0	12
Он уточнил, что взрыв произошел в квартире на девятом этаже, девяти этажного дома, на улице Чугунова, дом 34.	Чугунова	PERSON	92	100
"Пять человек пострадали в результате взрыва бытового газа в Подмосковье, сообщил ""Интерфаксу"" источник в правоохранительных органах."	Интерфаксу	ORGANIZATION	82	92
"Также, как сообщили ""Интерфаксу"" в центральном региональном центре МЧС РФ, взрыв произошел около 23:00 мск"	Интерфаксу	ORGANIZATION	21	31
"Также, как сообщили ""Интерфаксу"" в центральном региональном центре МЧС РФ, взрыв произошел около 23:00 мск"	МЧС РФ	ORGANIZATION	67	73
"  ""Вакифбанк"" — ""Нилуфер Беледийе"" — 3:0 (25:17, 25:23, 25:13)."	Вакифбанк	ORGANIZATION	3	12
"  ""Вакифбанк"" — ""Нилуфер Беледийе"" — 3:0 (25:17, 25:23, 25:13)."	Нилуфер Беледийе	PERSON	17	33
"""Бешикташ"" — ""Унивеситет Диджле"" — 3:0 (25:22, 25:23, 25:15)."	Бешикташ	ORGANIZATION	1	9
"""Бешикташ"" — ""Унивеситет Диджле"" — 3:0 (25:22, 25:23, 25:15)."	Унивеситет Диджле	ORGANIZATION	14	31
"""Галатасарай"" — ""Эрегли"" — 0:3 (23:25, 22:25, 23:25)."	Галатасарай	ORGANIZATION	1	12
"""Галатасарай"" — ""Эрегли"" — 0:3 (23:25, 22:25, 23:25)."	Эрегли	ORGANIZATION	17	23
"""ТЕД Коледжлилер"" — ""Эджашибаши"" — 1:3 (14:25, 13:25, 25:23, 16:25)."	ТЕД Коледжлилер	ORGANIZATION	1	16
"""ТЕД Коледжлилер"" — ""Эджашибаши"" — 1:3 (14:25, 13:25, 25:23, 16:25)."	Эджашибаши	ORGANIZATION	21	31
"""Фенербахче"" — ""Иллер Банкаси"" — 3:0 (25:14, 25:21, 25:13)."	Иллер Банкаси	ORGANIZATION	16	29
"""Фенербахче"" — ""Иллер Банкаси"" — 3:0 (25:14, 25:21, 25:13)."	Фенербахче	ORGANIZATION	1	11
"Клубный чемпион мира ""Фенербахче"" без особого труда обыграл ""Иллер Банкаси"" — 25:14, 25:21, 25:13."	Иллер Банкаси	ORGANIZATION	61	74
"Клубный чемпион мира ""Фенербахче"" без особого труда обыграл ""Иллер Банкаси"" — 25:14, 25:21, 25:13."	Фенербахче	ORGANIZATION	22	32
Состоялись матчи очередного тура чемпионата Турции по волейболу.	Турции	COUNTRY	44	50
Фенербахче Соколовой добился победы в чемпионате Турции.	Соколовой	PERSON	11	20
Фенербахче Соколовой добился победы в чемпионате Турции.	Турции	COUNTRY	49	55
Фенербахче Соколовой добился победы в чемпионате Турции.	Фенербахче	ORGANIZATION	0	10
Две параллельные акции протеста на площади стали возможны из-за того, что московские власти разрешили правозащитникам во главе с председателем Московской Хельсинкской группы Людмилой Алексеевой провести митинг с участием тысячи человек на Триумфальной площади 31 декабря, но отказали радикально настроенной оппозиции во главе с Лимоновым, который отверг предложенные властями варианты проведения митинга.	Лимоновым	PERSON	328	337
Две параллельные акции протеста на площади стали возможны из-за того, что московские власти разрешили правозащитникам во главе с председателем Московской Хельсинкской группы Людмилой Алексеевой провести митинг с участием тысячи человек на Триумфальной площади 31 декабря, но отказали радикально настроенной оппозиции во главе с Лимоновым, который отверг предложенные властями варианты проведения митинга.	Людмилой Алексеевой	PERSON	174	193
Две параллельные акции протеста на площади стали возможны из-за того, что московские власти разрешили правозащитникам во главе с председателем Московской Хельсинкской группы Людмилой Алексеевой провести митинг с участием тысячи человек на Триумфальной площади 31 декабря, но отказали радикально настроенной оппозиции во главе с Лимоновым, который отверг предложенные властями варианты проведения митинга.	властями	ORGANIZATION	367	375
Две параллельные акции протеста на площади стали возможны из-за того, что московские власти разрешили правозащитникам во главе с председателем Московской Хельсинкской группы Людмилой Алексеевой провести митинг с участием тысячи человек на Триумфальной площади 31 декабря, но отказали радикально настроенной оппозиции во главе с Лимоновым, который отверг предложенные властями варианты проведения митинга.	московские власти	ORGANIZATION	74	91
Две параллельные акции протеста на площади стали возможны из-за того, что московские власти разрешили правозащитникам во главе с председателем Московской Хельсинкской группы Людмилой Алексеевой провести митинг с участием тысячи человек на Триумфальной площади 31 декабря, но отказали радикально настроенной оппозиции во главе с Лимоновым, который отверг предложенные властями варианты проведения митинга.	правозащитникам	PROFESSION	102	117
Две параллельные акции протеста на площади стали возможны из-за того, что московские власти разрешили правозащитникам во главе с председателем Московской Хельсинкской группы Людмилой Алексеевой провести митинг с участием тысячи человек на Триумфальной площади 31 декабря, но отказали радикально настроенной оппозиции во главе с Лимоновым, который отверг предложенные властями варианты проведения митинга.	председателем Московской Хельсинкской группы	PROFESSION	129	173
Как сообщил официальный представитель ГУВД Москвы Виктор Бирюков, санкционированный митинг прошел организованно, без серьезных инцидентов, задержаны были 68 человек.	официальный представитель ГУВД Москвы	PROFESSION	12	49
Лимонов был задержан милицией еще до начала митинга, который был запланирован на 18.00 мск.	Лимонов	PERSON	0	7
Лимонов был задержан милицией еще до начала митинга, который был запланирован на 18.00 мск.	милицией	ORGANIZATION	21	29
Немцов и Яшин оказались в автозаке после попытки пройти сквозь милицейское оцепление на несанкционированную акцию, попытки проведения которой пресекал находившийся на площади ОМОН.	Немцов	PERSON	0	6
Немцов и Яшин оказались в автозаке после попытки пройти сквозь милицейское оцепление на несанкционированную акцию, попытки проведения которой пресекал находившийся на площади ОМОН.	ОМОН	ORGANIZATION	175	179
Немцов и Яшин оказались в автозаке после попытки пройти сквозь милицейское оцепление на несанкционированную акцию, попытки проведения которой пресекал находившийся на площади ОМОН.	Яшин	PERSON	9	13
"Немцов отметил, что считает это дело ""абсолютно заказным"", но его адвокат все же будет оспаривать приговор."	адвокат	PROFESSION	66	73
"Оппозиционный политик Борис Немцов, приговоренный мировым судом Тверского района Москвы к 15 суткам административного ареста за неповиновение милиции во время митинга 31 декабря, намерен оспаривать приговор, сообщает в воскресенье радиостанция ""Эхо Москвы""."	Борис Немцов	PERSON	22	34
"Оппозиционный политик Борис Немцов, приговоренный мировым судом Тверского района Москвы к 15 суткам административного ареста за неповиновение милиции во время митинга 31 декабря, намерен оспаривать приговор, сообщает в воскресенье радиостанция ""Эхо Москвы""."	Эхо Москвы	ORGANIZATION	245	255
"Оппозиционный политик Борис Немцов, приговоренный мировым судом Тверского района Москвы к 15 суткам административного ареста за неповиновение милиции во время митинга 31 декабря, намерен оспаривать приговор, сообщает в воскресенье радиостанция ""Эхо Москвы""."	милиции	ORGANIZATION	142	149
"Оппозиционный политик Борис Немцов, приговоренный мировым судом Тверского района Москвы к 15 суткам административного ареста за неповиновение милиции во время митинга 31 декабря, намерен оспаривать приговор, сообщает в воскресенье радиостанция ""Эхо Москвы""."	политик	PROFESSION	14	21
Ранее оппозиционер был признан виновным по статье 19.3 (неповиновение законным требованиям сотрудников милиции) КоАП и арестован на 15 суток.	милиции	ORGANIZATION	103	110
"В Аденском заливе экипаж израильского торгового судна ""Цим-Азия"" сумел отбить попытку насильственного захвата со стороны сомалийских пиратов."	израильского	COUNTRY	25	37
"В Аденском заливе экипаж израильского торгового судна ""Цим-Азия"" сумел отбить попытку насильственного захвата со стороны сомалийских пиратов."	пиратов	PROFESSION	133	140
"В Аденском заливе экипаж израильского торгового судна ""Цим-Азия"" сумел отбить попытку насильственного захвата со стороны сомалийских пиратов."	сомалийских	COUNTRY	121	132
"Вооруженные морские бандиты вплотную приблизились к кораблю израильской компании ""Цим"", перевозившему текстиль, электронику и строительные товары из Индии в Израиль и в страны Черного моря, и попытались подняться на борт."	Израиль	COUNTRY	157	164
"Вооруженные морские бандиты вплотную приблизились к кораблю израильской компании ""Цим"", перевозившему текстиль, электронику и строительные товары из Индии в Израиль и в страны Черного моря, и попытались подняться на борт."	Индии	COUNTRY	149	154
"Вооруженные морские бандиты вплотную приблизились к кораблю израильской компании ""Цим"", перевозившему текстиль, электронику и строительные товары из Индии в Израиль и в страны Черного моря, и попытались подняться на борт."	Цим	ORGANIZATION	82	85
"Вооруженные морские бандиты вплотную приблизились к кораблю израильской компании ""Цим"", перевозившему текстиль, электронику и строительные товары из Индии в Израиль и в страны Черного моря, и попытались подняться на борт."	израильской	COUNTRY	60	71
"Вооруженные морские бандиты вплотную приблизились к кораблю израильской компании ""Цим"", перевозившему текстиль, электронику и строительные товары из Индии в Израиль и в страны Черного моря, и попытались подняться на борт."	морские бандиты	PROFESSION	12	27
Капитан приказал увеличить скорость и проделать несколько экстренных маневров, которые вынудили пиратов отдалиться от судна.	Капитан	PROFESSION	0	7
Капитан приказал увеличить скорость и проделать несколько экстренных маневров, которые вынудили пиратов отдалиться от судна.	пиратов	PROFESSION	96	103
Пресс-секретарь министерства транспорта Израиля Авнер Овадия отметил стойкость и смелость моряков, которые, несмотря на то, что пираты обстреливали корабль, оказали достойное сопротивление.	Пресс-секретарь министерства транспорта Израиля	PROFESSION	0	47
Пресс-секретарь министерства транспорта Израиля Авнер Овадия отметил стойкость и смелость моряков, которые, несмотря на то, что пираты обстреливали корабль, оказали достойное сопротивление.	пираты	PROFESSION	128	134
"""Немцов находится в Тверском отделении г. Москвы, а Яшин в Басманном."	Тверском отделении г. Москвы	ORGANIZATION	20	48
"""Согласно статьи, указанной в обвинении, им грозит арест до 15 суток "", - подытожила пресс-секретарь."	пресс-секретарь	PROFESSION	85	100
Завтра в Москве будут судить Яшина и Немцова.	Немцова	PERSON	37	44
Завтра в Москве будут судить Яшина и Немцова.	Яшина	PERSON	29	34
"Сопредседатель российского движения ""Солидарность"" Борис Немцов и член федерального политсовета даного движения - Илья Яшин встретили 20011 год в... милиции."	Борис Немцов	PERSON	51	63
"Сопредседатель российского движения ""Солидарность"" Борис Немцов и член федерального политсовета даного движения - Илья Яшин встретили 20011 год в... милиции."	Илья Яшин	PERSON	114	123
"Сопредседатель российского движения ""Солидарность"" Борис Немцов и член федерального политсовета даного движения - Илья Яшин встретили 20011 год в... милиции."	"Сопредседатель российского движения ""Солидарность"""	PROFESSION	0	50
"Сопредседатель российского движения ""Солидарность"" Борис Немцов и член федерального политсовета даного движения - Илья Яшин встретили 20011 год в... милиции."	российского	COUNTRY	15	26
"Сопредседатель российского движения ""Солидарность"" Борис Немцов и член федерального политсовета даного движения - Илья Яшин встретили 20011 год в... милиции."	член федерального политсовета даного движения	PROFESSION	66	111
"Судя по всему, со всех задержанных 31 декабря на Триумфальной площади им предъявлено обвинения в неповиновении правоохранителям, а остальных обвиняют за переход проезжей части в неположенном месте "", - сообщила 1 января Ольга Шорина, пресс-секретарь ""Солидарности""."	Ольга Шорина	PERSON	220	232
"Судя по всему, со всех задержанных 31 декабря на Триумфальной площади им предъявлено обвинения в неповиновении правоохранителям, а остальных обвиняют за переход проезжей части в неположенном месте "", - сообщила 1 января Ольга Шорина, пресс-секретарь ""Солидарности""."	Солидарности	ORGANIZATION	251	263
"Судя по всему, со всех задержанных 31 декабря на Триумфальной площади им предъявлено обвинения в неповиновении правоохранителям, а остальных обвиняют за переход проезжей части в неположенном месте "", - сообщила 1 января Ольга Шорина, пресс-секретарь ""Солидарности""."	"пресс-секретарь ""Солидарности"""	PROFESSION	234	264
В настоящее время одной из основных задач пакистанских властей является искоренение террористических элементов, в частности талибов, которые нашли убежище на северо-востоке страны, недалеко от границы с Афганистаном.	Афганистаном	COUNTRY	203	215
В настоящее время одной из основных задач пакистанских властей является искоренение террористических элементов, в частности талибов, которые нашли убежище на северо-востоке страны, недалеко от границы с Афганистаном.	пакистанских	COUNTRY	42	54
В настоящее время одной из основных задач пакистанских властей является искоренение террористических элементов, в частности талибов, которые нашли убежище на северо-востоке страны, недалеко от границы с Афганистаном.	талибов	ORGANIZATION	124	131
Вторая по величине в правящей коалиции Пакистана партия заявила о намерении уйти в оппозицию, лишив тем самым коалицию большинства в нижней палате парламента, сообщило в воскресенье агентство Рейтер.	Пакистана	COUNTRY	39	48
Вторая по величине в правящей коалиции Пакистана партия заявила о намерении уйти в оппозицию, лишив тем самым коалицию большинства в нижней палате парламента, сообщило в воскресенье агентство Рейтер.	Рейтер	ORGANIZATION	192	198
Вторая по величине в правящей коалиции Пакистана партия заявила о намерении уйти в оппозицию, лишив тем самым коалицию большинства в нижней палате парламента, сообщило в воскресенье агентство Рейтер.	нижней палате парламента	ORGANIZATION	133	157
Количество терактов в Пакистане за последние несколько месяцев сильно увеличилось.	Пакистане	COUNTRY	22	31
Кроме того, теперь оппозиция может набрать достаточное количество голосов парламентариев, чтобы выразить вотум недоверия кабинету премьер-министра Юсуфа Рады Гилани.	Гилани	PERSON	158	164
Кроме того, теперь оппозиция может набрать достаточное количество голосов парламентариев, чтобы выразить вотум недоверия кабинету премьер-министра Юсуфа Рады Гилани.	парламентариев	PROFESSION	74	88
Кроме того, теперь оппозиция может набрать достаточное количество голосов парламентариев, чтобы выразить вотум недоверия кабинету премьер-министра Юсуфа Рады Гилани.	премьер-министра	PROFESSION	130	146
"Мы будем сидеть на скамьях оппозиции в Национальной ассамблее и Сенате (нижняя и верхняя палаты парламента - ред.)"", - заявил представитель MQM Васай Джалил (Wasay Jalil)."	Wasay Jalil	PERSON	158	169
"Мы будем сидеть на скамьях оппозиции в Национальной ассамблее и Сенате (нижняя и верхняя палаты парламента - ред.)"", - заявил представитель MQM Васай Джалил (Wasay Jalil)."	Васай Джалил	PERSON	144	156
